2015/01/25 09:46:06.017 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:46:21.023 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:46:36.036 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:46:51.038 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:47:06.047 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:47:21.054 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:47:36.064 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:47:51.069 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:48:06.080 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 09:48:21.081 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
